method ConCaseRatio nmatch exptype beta ncov pfail bias bias.SE MSE MSE.se cover cover.se test.rej test.rej.se
CLR 1 10 continuous 0 0 0.0018 0.0494027958282154 0.0647015432339509 41.7857981005437 17.2404724184504 0.93235941564939 0.00251354446954346 0.0676405843506104 0.00251354446954346
CLR 4 10 continuous 0 0 0 0.000338653070891186 0.00404924736743543 0.163947760708487 0.00292319325317243 0.942 0.00233743449106066 0.058 0.00233743449106066
CLR 1 20 continuous 0 0 0 -0.00185917359827814 0.00397745838088204 0.158189388067785 0.00372205470227774 0.9453 0.00227393733422889 0.0547 0.00227393733422889
CLR 4 20 continuous 0 0 0 -0.00278848404272122 0.00262846572088769 0.069089187270027 0.00105248931132619 0.9494 0.00219179469841498 0.0506 0.00219179469841498
CLR 1 30 continuous 0 0 0 0.000264364056437605 0.00300772135323688 0.0904549008877857 0.00160766336817647 0.9431 0.00231651440746653 0.0569 0.00231651440746653
CLR 4 30 continuous 0 0 0 -0.000813572780559367 0.00212756109641778 0.0452612975743546 0.000676732412280961 0.9473 0.00223433905215838 0.0527 0.00223433905215838
CLR 1 40 continuous 0 0 0 0.0026014749958357 0.00250633537891522 0.062817656271143 0.00103346731655786 0.9422 0.00233364864536202 0.0578 0.00233364864536202
CLR 4 40 continuous 0 0 0 -0.00359068129336412 0.00182870679097113 0.0334512340970625 0.000495357027304511 0.9478 0.00222430123859157 0.0522 0.00222430123859157
CLR 1 50 continuous 0 0 0 -0.000400733174943514 0.00217377383610739 0.0472483621998375 0.000747292455389855 0.947 0.00224033479640879 0.053 0.00224033479640879
CLR 4 50 continuous 0 0 0 -0.001420725407464 0.00163807738609901 0.02683231039165 0.000386398138486337 0.9453 0.00227393733422889 0.0547 0.00227393733422889
CLR 1 10 binary0.05 0 0 0.0335 -0.0132588134003318 0.18467289152072 329.581974596534 1.73208597591462 1 0 0 0
CLR 4 10 binary0.05 0 0 0 -7.87501672458457 0.127527747219868 224.632888195928 1.67113727507178 0.996 0.00063118935352238 0.004 0.00063118935352238
CLR 1 20 binary0.05 0 0 0.0183 0.361441395794017 0.150488625141554 222.431886813895 1.92754066712206 0.9998 0.000142719123070616 2e-04 0.000142719123070624
CLR 4 20 binary0.05 0 0 0 -5.68419046046763 0.0964078701402661 125.24550096327 1.6349102970038 0.9832 0.00128521437900453 0.0168 0.00128521437900453
CLR 1 30 binary0.05 0 0 0.0094 -0.281812366657317 0.124044175223651 152.487231325495 1.86250249575455 0.9987 0.00036202623126782 0.0013 0.000362026231267824
CLR 4 30 binary0.05 0 0 0 -3.58906185169197 0.07736051820377 72.7218780930517 1.38041097767389 0.9754 0.00154902679124668 0.0246 0.00154902679124668
CLR 1 40 binary0.05 0 0 0.0055 0.0363288724000208 0.101481212060486 102.408971361148 1.63596765101213 0.9935 0.000805820330612695 0.0065 0.000805820330612698
CLR 4 40 binary0.05 0 0 0 -2.26393521599227 0.0618600454598037 43.3882282398753 1.1186978255607 0.974 0.00159135162676261 0.026 0.00159135162676261
CLR 1 50 binary0.05 0 0 0.0026 0.19081743001456 0.0819115107423781 66.9502108316025 1.40826726843216 0.9853 0.00120505876754889 0.0147 0.00120505876754889
CLR 4 50 binary0.05 0 0 0 -1.35252417819608 0.0484885482229218 25.3383636009632 0.880798986987192 0.9739 0.00159432713079844 0.0261 0.00159432713079844
CLR 1 10 binary0.1 0 0 0.0361 -0.139910640029912 0.165197186467623 263.041659184484 2.10239374377426 1 0 0 0
CLR 4 10 binary0.1 0 0 0 -5.36501158005999 0.10403216434045 136.999438736544 1.77514816285413 0.9872 0.00112410675649602 0.0128 0.00112410675649602
CLR 1 20 binary0.1 0 0 0.0117 -0.042271413097493 0.112044685797036 124.060529655324 1.85732150594927 0.9968 0.000568112841562976 0.0032 0.000568112841562977
