method ConCaseRatio nmatch exptype beta ncov pfail bias bias.SE MSE MSE.se cover cover.se test.rej test.rej.se
CLR 1 10 continuous 0 0 0.0024 0.00598537745882661 0.00974809102007371 0.94791297813635 0.124993209753629 0.932137129109864 0.0025181279730867 0.0678628708901363 0.0025181279730867
CLR 4 10 continuous 0 0 0 0.00158464938573734 0.00401928318719912 0.161532729865352 0.00301440112283484 0.9447 0.00228564892317259 0.0553 0.00228564892317259
CLR 1 20 continuous 0 0 0 -0.000441954273338956 0.00401957706184925 0.16155403588527 0.00888072067429207 0.9453 0.00227393733422889 0.0547 0.00227393733422889
CLR 4 20 continuous 0 0 0 -0.00185419016211751 0.00262779893938808 0.0690498053523826 0.00104419902311848 0.9467 0.00224631053062572 0.0533 0.00224631053062572
CLR 1 30 continuous 0 0 0 0.00222693188265627 0.002962315625419 0.0877493225577607 0.00159071311797184 0.9474 0.00223233599621562 0.0526 0.00223233599621562
CLR 4 30 continuous 0 0 0 -0.0012629921563398 0.00210869837493566 0.0444632369049135 0.00065729119687888 0.9501 0.00217738352156895 0.0499 0.00217738352156895
CLR 1 40 continuous 0 0 0 0.00107527860494585 0.00248357596008314 0.0616764835695578 0.00102756709743451 0.9466 0.0022482980229498 0.0534 0.0022482980229498
CLR 4 40 continuous 0 0 0 -0.00204350533994681 0.00181182823249233 0.0328281086330929 0.00047712843350155 0.9513 0.00215240121724552 0.0487 0.00215240121724552
CLR 1 50 continuous 0 0 0 -0.000105990170650328 0.00216022694465126 0.0466611491774371 0.00075736573946975 0.9478 0.00222430123859157 0.0522 0.00222430123859157
CLR 4 50 continuous 0 0 0 -0.00249912078516703 0.00162280637687607 0.0263386174724583 0.000389983582311884 0.9495 0.00218974313562116 0.0505 0.00218974313562116
CLR 1 10 binary0.05 0 0 0.8486 -0.00407779803406743 0.00963130801211295 0.140365676695406 0.00736534882474404 1 0 0 0
CLR 4 10 binary0.05 0 0 0.6024 8.25999770873986 0.230939170275899 280.225841110082 8.63489756519559 0.987173038229376 0.00178457726131408 0.0128269617706237 0.00178457726131408
CLR 1 20 binary0.05 0 0 0.4785 9.67271311159871 0.222768248480902 352.309739797236 8.11345741156295 0.999616490891659 0.000271129885805695 0.000383509108341323 0.000271129885805709
CLR 4 20 binary0.05 0 0 0.3544 1.59216914213121 0.0789576172269354 42.7774434058479 2.91045892198333 0.969795539033457 0.00213006999612518 0.0302044609665428 0.00213006999612518
CLR 1 30 binary0.05 0 0 0.2978 7.06507711502393 0.1725395171591 258.929677096311 6.29985617386038 0.997294218171461 0.00061990854945618 0.00270578182853888 0.000619908549456182
CLR 4 30 binary0.05 0 0 0.2045 0.423577441929863 0.0324213141815963 8.5401982411959 1.15393518790392 0.96970458830924 0.00192171094026439 0.0302954116907605 0.00192171094026439
CLR 1 40 binary0.05 0 0 0.1833 4.46263456458845 0.132607147096831 163.511403752891 4.81661385957076 0.993632912942329 0.000880140692198865 0.00636708705767112 0.000880140692198868
CLR 4 40 binary0.05 0 0 0.129 0.0733683111129172 0.0114280533167286 1.14278181540599 0.307354966436089 0.972330654420207 0.00175750818068199 0.0276693455797933 0.00175750818068198
CLR 1 50 binary0.05 0 0 0.1078 2.98900746035925 0.106300167084511 109.739016981581 3.86715583688381 0.966375252185609 0.00190840835074088 0.0336247478143914 0.00190840835074088
CLR 4 50 binary0.05 0 0 0.077 0.0011505324999929 0.00838408717342703 0.64873466147019 0.146488462693974 0.971289274106175 0.00173818313733132 0.0287107258938245 0.00173818313733132
CLR 1 10 binary0.1 0 0 0.6524 0.0129740060738525 0.00894526550006928 0.278230092495496 0.00683280875985021 0.999712313003452 0.000287645611667099 0.000287686996547756 0.000287645611667078
CLR 4 10 binary0.1 0 0 0.355 2.06015337960843 0.0936660204572487 60.8233944786432 3.44654929723295 0.978139534883721 0.00182074970423013 0.0218604651162791 0.00182074970423013
CLR 1 20 binary0.1 0 0 0.2809 1.71311977249522 0.0918931878678653 63.6497132060864 3.33069249438705 0.995549993046864 0.000784905255924415 0.00445000695313586 0.000784905255924411
CLR 4 20 binary0.1 0 0 0.1186 0.174302795066982 0.020197518706437 3.62555458596538 0.67515897083047 0.969026548672566 0.00184533880807184 0.0309734513274336 0.00184533880807184
CLR 1 30 binary0.1 0 0 0.1237 0.976287810462758 0.0636160193649754 36.4129336625384 2.29769131355367 0.977747346799041 0.00157571553609753 0.0222526532009586 0.00157571553609753
